client_id,Variation_x,Variation_y,Variation
9988021,Test,Test,Test
8320017,Test,Test,Test
4033851,Control,Control,Control
1982004,Test,Test,Test
9294070,Control,Control,Control
9466803,Test,Test,Test
3170143,Test,Test,Test
6651403,Control,Control,Control
5887227,Test,Test,Test
2105948,Control,Control,Control
438567,Test,Test,Test
2519971,Test,Test,Test
9814849,Control,Control,Control
5407849,Test,Test,Test
7286739,Control,Control,Control
4446011,Control,Control,Control
5308474,Test,Test,Test
2991219,Test,Test,Test
2354414,Test,Test,Test
949210,Test,Test,Test
4229407,Control,Control,Control
9987707,Test,Test,Test
2709011,Test,Test,Test
4507502,Test,Test,Test
2842481,Control,Control,Control
2317698,Test,Test,Test
3013805,Test,Test,Test
1218661,Control,Control,Control
2965703,Test,Test,Test
1712929,Control,Control,Control
2328234,Test,Test,Test
800925,Control,Control,Control
6685654,Test,Test,Test
8766054,Test,Test,Test
4726500,Test,Test,Test
9504867,Test,Test,Test
1242238,Control,Control,Control
7800773,Test,Test,Test
9477476,Control,Control,Control
1338778,Control,Control,Control
6584990,Control,Control,Control
7859827,Test,Test,Test
7407692,Test,Test,Test
7040762,Control,Control,Control
9900469,Test,Test,Test
5169372,Control,Control,Control
5267250,Control,Control,Control
2079440,Test,Test,Test
5376894,Test,Test,Test
3751049,Control,Control,Control
8240010,Test,Test,Test
6110816,Test,Test,Test
2550129,Test,Test,Test
9912156,Control,Control,Control
7690370,Test,Test,Test
9885354,Test,Test,Test
1962381,Test,Test,Test
229701,Control,Control,Control
2818303,Control,Control,Control
6229916,Test,Test,Test
9358626,Control,Control,Control
4773291,Control,Control,Control
4953263,Control,Control,Control
522661,Test,Test,Test
3754789,Control,Control,Control
3066535,Control,Control,Control
9545426,Control,Control,Control
4778144,Control,Control,Control
2000786,Control,Control,Control
1532932,Test,Test,Test
9096386,Test,Test,Test
6986475,Control,Control,Control
7996704,Control,Control,Control
2211277,Test,Test,Test
9268841,Test,Test,Test
4213800,Control,Control,Control
1763518,Control,Control,Control
7485024,Test,Test,Test
2437471,Control,Control,Control
1628554,Test,Test,Test
9744906,Test,Test,Test
7289266,Control,Control,Control
3883711,Test,Test,Test
8123801,Test,Test,Test
598943,Control,Control,Control
8491121,Test,Test,Test
8861901,Control,Control,Control
6853744,Control,Control,Control
1404893,Control,Control,Control
768936,Test,Test,Test
5408845,Test,Test,Test
9336495,Control,Control,Control
4744361,Control,Control,Control
2397739,Test,Test,Test
2136502,Test,Test,Test
7501437,Test,Test,Test
9628154,Control,Control,Control
9293919,Control,Control,Control
5318449,Test,Test,Test
5022038,Test,Test,Test
2565373,Control,Control,Control
5745157,Test,Test,Test
6653427,Test,Test,Test
6071019,Control,Control,Control
632316,Test,Test,Test
1152171,Test,Test,Test
8188670,Control,Control,Control
1021747,Test,Test,Test
226198,Test,Test,Test
6216233,Control,Control,Control
1846219,Test,Test,Test
2093449,Test,Test,Test
7902892,Test,Test,Test
722917,Test,Test,Test
4747144,Control,Control,Control
2199722,Test,Test,Test
2235331,Test,Test,Test
8313694,Control,Control,Control
2382696,Test,Test,Test
2679453,Control,Control,Control
7276973,Control,Control,Control
4532572,Test,Test,Test
8771952,Test,Test,Test
5256566,Control,Control,Control
1342790,Control,Control,Control
9775174,Test,Test,Test
3703187,Test,Test,Test
2769120,Control,Control,Control
6031726,Test,Test,Test
8870709,Control,Control,Control
2145511,Control,Control,Control
461846,Control,Control,Control
4878112,Control,Control,Control
843249,Test,Test,Test
5018154,Test,Test,Test
9414396,Control,Control,Control
6650565,Control,Control,Control
2062199,Control,Control,Control
6682559,Test,Test,Test
9516496,Test,Test,Test
3382939,Test,Test,Test
7833565,Test,Test,Test
9448266,Test,Test,Test
2406356,Test,Test,Test
7112284,Control,Control,Control
6141432,Control,Control,Control
2015197,Control,Control,Control
5429577,Control,Control,Control
1636347,Control,Control,Control
4577314,Control,Control,Control
3068817,Test,Test,Test
2358419,Test,Test,Test
6283739,Control,Control,Control
8289357,Test,Test,Test
1423857,Control,Control,Control
117916,Test,Test,Test
2810561,Test,Test,Test
2040881,Control,Control,Control
6547909,Control,Control,Control
9774553,Test,Test,Test
203702,Control,Control,Control
2336869,Control,Control,Control
3638107,Control,Control,Control
391025,Control,Control,Control
6954534,Test,Test,Test
7636277,Control,Control,Control
8100455,Test,Test,Test
3548541,Test,Test,Test
2050360,Test,Test,Test
8675285,Test,Test,Test
868124,Control,Control,Control
8241574,Test,Test,Test
559169,Control,Control,Control
2276090,Control,Control,Control
1095432,Test,Test,Test
3036660,Control,Control,Control
5546524,Control,Control,Control
3544855,Test,Test,Test
7474517,Control,Control,Control
7212234,Test,Test,Test
9207047,Test,Test,Test
452583,Control,Control,Control
7762269,Test,Test,Test
7599262,Test,Test,Test
945176,Control,Control,Control
7690452,Test,Test,Test
5537612,Test,Test,Test
4256611,Test,Test,Test
2889049,Control,Control,Control
137412,Test,Test,Test
171492,Test,Test,Test
668996,Control,Control,Control
8076294,Control,Control,Control
8893466,Test,Test,Test
4727155,Test,Test,Test
4493573,Test,Test,Test
2797397,Control,Control,Control
6480779,Control,Control,Control
257840,Test,Test,Test
7340414,Control,Control,Control
5221768,Test,Test,Test
2306578,Test,Test,Test
9700346,Test,Test,Test
192518,Test,Test,Test
5163125,Control,Control,Control
5821983,Control,Control,Control
1884538,Control,Control,Control
902895,Test,Test,Test
841242,Control,Control,Control
872142,Control,Control,Control
3480918,Test,Test,Test
8203999,Test,Test,Test
617840,Control,Control,Control
1929698,Control,Control,Control
8963925,Test,Test,Test
7758940,Test,Test,Test
8319726,Test,Test,Test
298590,Test,Test,Test
2856502,Test,Test,Test
6930182,Test,Test,Test
965266,Control,Control,Control
2465098,Test,Test,Test
1667380,Test,Test,Test
8701900,Test,Test,Test
5133382,Test,Test,Test
913704,Test,Test,Test
1519456,Test,Test,Test
8424645,Control,Control,Control
7284366,Test,Test,Test
1933359,Test,Test,Test
4506445,Test,Test,Test
8366788,Test,Test,Test
7214811,Test,Test,Test
6819326,Control,Control,Control
2475049,Control,Control,Control
6394423,Test,Test,Test
3081313,Control,Control,Control
9292160,Test,Test,Test
493311,Control,Control,Control
4470019,Test,Test,Test
6442081,Test,Test,Test
8416851,Control,Control,Control
1938076,Test,Test,Test
1907109,Test,Test,Test
2852997,Control,Control,Control
7979476,Test,Test,Test
5255030,Test,Test,Test
3633784,Test,Test,Test
7161996,Test,Test,Test
9707270,Control,Control,Control
